"filename", "language", "YAML", "JSON", "Markdown", "C++", "Swift", "Dart", "HTML", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\myflutterapp\shop_app\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\myflutterapp\shop_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 3, 11, 60
"d:\myflutterapp\shop_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"d:\myflutterapp\shop_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 11, 1, 43
"d:\myflutterapp\shop_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\myflutterapp\shop_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\myflutterapp\shop_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\myflutterapp\shop_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\myflutterapp\shop_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"d:\myflutterapp\shop_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"d:\myflutterapp\shop_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\myflutterapp\shop_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"d:\myflutterapp\shop_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\myflutterapp\shop_app\assets\google-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\myflutterapp\shop_app\assets\home\empty_cart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\myflutterapp\shop_app\assets\onBoarding\onBoard1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\myflutterapp\shop_app\assets\onBoarding\onBoard2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\myflutterapp\shop_app\assets\onBoarding\onBoard3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\myflutterapp\shop_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\myflutterapp\shop_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\myflutterapp\shop_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"d:\myflutterapp\shop_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\myflutterapp\shop_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\myflutterapp\shop_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\myflutterapp\shop_app\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\myflutterapp\shop_app\lib\cubit\home\homeCubit.dart", "Dart", 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 0, 30, 247
"d:\myflutterapp\shop_app\lib\cubit\home\homeStates.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 14, 31
"d:\myflutterapp\shop_app\lib\cubit\sign\signCubit.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 8, 64
"d:\myflutterapp\shop_app\lib\cubit\sign\signStates.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 2, 11, 37
"d:\myflutterapp\shop_app\lib\dio\dioHelper.dart", "Dart", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 9, 78
"d:\myflutterapp\shop_app\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 6, 72
"d:\myflutterapp\shop_app\lib\model\favoritesModel.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"d:\myflutterapp\shop_app\lib\model\home\addCartModel.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\myflutterapp\shop_app\lib\model\home\cartModel.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 7, 58
"d:\myflutterapp\shop_app\lib\model\home\cateogriesModel.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"d:\myflutterapp\shop_app\lib\model\home\homeModel.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 10, 66
